benchmark,category,baseline_policy,target_policy,scope,n,baseline_accuracy,target_accuracy,delta_accuracy,baseline_gold_mismatch_exposure,target_gold_mismatch_exposure,delta_gold_mismatch_exposure,baseline_prompt_tokens,target_prompt_tokens,delta_prompt_tokens,wins,losses,both_wrong,target_interventions,verdict,reviewer_note
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,all paired cases,78,0.321,0.295,-0.026,0.000,0.000,0.000,459.00,252.44,-206.56,1,3,52,77,not_usable,Contains paired losses; do not headline this result.
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,Predeclared validity-sensitive union,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,Current-state same-key evidence retrieved,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,ODV2 intervened,77,0.325,0.299,-0.026,0.000,0.000,0.000,458.73,249.48,-209.25,1,3,51,77,not_usable,Contains paired losses; do not headline this result.
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,Gold-mismatched same-key state exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,knowledge-update,official_mem0,official_mem0_odv2_selective,Same-key state conflict exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,all paired cases,30,0.000,0.000,0.000,0.000,0.000,0.000,467.17,252.27,-214.90,0,0,30,30,efficiency_no_regression,No-regression efficiency result relative to baseline.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,Predeclared validity-sensitive union,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,Current-state same-key evidence retrieved,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,ODV2 intervened,30,0.000,0.000,0.000,0.000,0.000,0.000,467.17,252.27,-214.90,0,0,30,30,efficiency_no_regression,Small intervention slice; useful but insufficient alone for a strong claim.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,Gold-mismatched same-key state exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-preference,official_mem0,official_mem0_odv2_selective,Same-key state conflict exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,all paired cases,133,0.053,0.053,0.000,0.000,0.000,0.000,468.49,259.30,-209.19,6,6,120,130,not_usable,Contains paired losses; do not headline this result.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,Predeclared validity-sensitive union,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,Current-state same-key evidence retrieved,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,ODV2 intervened,130,0.054,0.054,0.000,0.000,0.000,0.000,469.15,254.98,-214.17,6,6,117,130,not_usable,Contains paired losses; do not headline this result.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,Gold-mismatched same-key state exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,multi-session,official_mem0,official_mem0_odv2_selective,Same-key state conflict exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,all paired cases,70,0.429,0.400,-0.029,0.000,0.000,0.000,450.89,253.11,-197.77,1,3,39,66,not_usable,Contains paired losses; do not headline this result.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,Predeclared validity-sensitive union,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,Current-state same-key evidence retrieved,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,ODV2 intervened,66,0.409,0.379,-0.030,0.000,0.000,0.000,456.97,247.21,-209.76,1,3,38,66,not_usable,Contains paired losses; do not headline this result.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,Gold-mismatched same-key state exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
longmemeval,single-session-user,official_mem0,official_mem0_odv2_selective,Same-key state conflict exposed,0,NA,NA,0.000,NA,NA,0.000,NA,NA,0.00,0,0,0,0,no_cases,No paired cases in this scope.
